date,output
1910,"Becket directed by Peter Glenville starring Richard Burton, Peter O'Toole, John Gielgud."
1911,"Their First Misunderstanding directed by Thomas H. Ince,George Loane Tucker starring Mary Pickford, Owen Moore, Thomas H. Ince."
1912,"The Musketeers of Pig Alley directed by D.W. Griffith starring Elmer Booth, Lillian Gish, Clara T. Bracy."
1913,"Traffic in Souls directed by George Loane Tucker starring Jane Gail, Ethel Grandin, William H. Turner."
1914,"The Million Dollar Mystery directed by Howell Hansel starring Florence La Badie, Marguerite Snow, James Cruze."
1915,"The Birth of a Nation directed by D.W. Griffith starring Lillian Gish, Mae Marsh, Henry B. Walthall."
1916,"20,000 Leagues Under the Sea directed by Stuart Paton starring Allen Holubar, Dan Hanlon, Edna Pendleton."
1917,"A Romance of the Redwoods directed by Cecil B. DeMille starring Mary Pickford, Elliott Dexter, Tully Marshall."
1918,"Mickey directed by F. Richard Jones,James Young starring Mabel Normand, George Nichols, Laura La Varnie."
1919,"The Miracle Man directed by George Loane Tucker starring Lon Chaney, Betty Compson, Joseph J. Dowling."
1920,"Something to Think About directed by Cecil B. DeMille starring Elliott Dexter, Gloria Swanson, Monte Blue."
1921,"The Four Horsemen of the Apocalypse directed by Rex Ingram starring Rudolph Valentino, Alice Terry, Pomeroy Cannon."
1922,"Robin Hood directed by Allan Dwan starring Wallace Beery, Sam De Grasse, Enid Bennett."
1923,"The Covered Wagon directed by James Cruze starring J. Warren Kerrigan, Lois Wilson, Alan Hale."
1924,"Sherlock, Jr. directed by Buster Keaton starring Buster Keaton, Kathryn McGuire, Joe Keaton."
1925,"Ben-Hur: A Tale of the Christ directed by Fred Niblo and Charles Brabin starring Ramon Novarro, Francis X. Bushman, May McAvoy."
1926,"Aloma of the South Seas directed by Maurice Tourneur starring Gilda Gray, Percy Marmont, Warner Baxter."
1927,"The Jazz Singer directed by Alan Crosland starring Al Jolson, May McAvoy, Warner Oland."
1928,"The Singing Fool directed by Lloyd Bacon starring Al Jolson, Betty Bronson, Josephine Dunn."
1929,"Welcome Danger directed by Clyde Bruckman and Malcolm St. Clair starring Harold Lloyd, Barbara Kent, Noah Young."
1930,"Tom Sawyer directed by John Cromwell starring Jackie Coogan, Junior Durkin, Mitzi Green."
1931,"Frankenstein directed by James Whale starring Colin Clive, Mae Clarke, Boris Karloff."
1932,"Shanghai Express directed by Josef von Sternberg starring Marlene Dietrich, Clive Brook, Anna May Wong."
1933,"King Kong directed by Merian C. Cooper and Ernest B. Schoedsack starring Fay Wray, Robert Armstrong, Bruce Cabot."
