Date,Output,Superbowl,Winner,Loser,Score,Location,DateText
1967,"Green Bay Packers beat Kansas City Chiefs (35 - 10) to win Super Bowl I on January 15, 1967 in Los Angeles, CA.",Super Bowl I,Green Bay Packers,Kansas City Chiefs,(35 - 10),"Los Angeles, CA","January 15, 1967"
1968,"Green Bay Packers beat Oakland Raiders (33 - 14) to win Super Bowl II on January 14, 1968 in Miami, FL.",Super Bowl II,Green Bay Packers,Oakland Raiders,(33 - 14),"Miami, FL","January 14, 1968"
1969,"New York Jets beat Baltimore Colts (16 - 7) to win Super Bowl III on January 12, 1969 in Miami, FL.",Super Bowl III,New York Jets,Baltimore Colts,(16 - 7),"Miami, FL","January 12, 1969"
1970,"Kansas City Chiefs beat Minnesota Vikings (23 - 7) to win Super Bowl IV on January 11, 1970 in New Orleans, LA.",Super Bowl IV,Kansas City Chiefs,Minnesota Vikings,(23 - 7),"New Orleans, LA","January 11, 1970"
1971,"Baltimore Colts beat Dallas Cowboys (16 - 13) to win Super Bowl V on January 17, 1971 in Miami, FL.",Super Bowl V,Baltimore Colts,Dallas Cowboys,(16 - 13),"Miami, FL","January 17, 1971"
1972,"Dallas Cowboys beat Miami Dolphins (24 - 3) to win Super Bowl VI on January 16, 1972 in New Orleans, LA.",Super Bowl VI,Dallas Cowboys,Miami Dolphins,(24 - 3),"New Orleans, LA","January 16, 1972"
1973,"Miami Dolphins beat Washington Redskins (14 - 7) to win Super Bowl VII on January 14, 1973 in Los Angeles, CA.",Super Bowl VII,Miami Dolphins,Washington Redskins,(14 - 7),"Los Angeles, CA","January 14, 1973"
1974,"Miami Dolphins beat Minnesota Vikings (24 - 7) to win Super Bowl VIII on January 13, 1974 in Houston, TX.",Super Bowl VIII,Miami Dolphins,Minnesota Vikings,(24 - 7),"Houston, TX","January 13, 1974"
1975,"Pittsburgh Steelers beat Minnesota Vikings (16 - 6) to win Super Bowl IX on January 12, 1975 in New Orleans, LA.",Super Bowl IX,Pittsburgh Steelers,Minnesota Vikings,(16 - 6),"New Orleans, LA","January 12, 1975"
1976,"Pittsburgh Steelers beat Dallas Cowboys (21 - 17) to win Super Bowl X on January 18, 1976 in Miami, FL.",Super Bowl X,Pittsburgh Steelers,Dallas Cowboys,(21 - 17),"Miami, FL","January 18, 1976"
1977,"Oakland Raiders beat Minnesota Vikings (32 - 14) to win Super Bowl XI on January 9, 1977 in Pasadena, CA.",Super Bowl XI,Oakland Raiders,Minnesota Vikings,(32 - 14),"Pasadena, CA","January 9, 1977"
1978,"Dallas Cowboys beat Denver Broncos (27 - 10) to win Super Bowl XII on January 15, 1978 in New Orleans, LA.",Super Bowl XII,Dallas Cowboys,Denver Broncos,(27 - 10),"New Orleans, LA","January 15, 1978"
1979,"Pittsburgh Steelers beat Dallas Cowboys (35 - 31) to win Super Bowl XIII on January 21, 1979 in Miami, FL.",Super Bowl XIII,Pittsburgh Steelers,Dallas Cowboys,(35 - 31),"Miami, FL","January 21, 1979"
1980,"Pittsburgh Steelers beat Los Angeles Rams (31 - 19) to win Super Bowl XIV on January 20, 1980 in Pasadena, CA.",Super Bowl XIV,Pittsburgh Steelers,Los Angeles Rams,(31 - 19),"Pasadena, CA","January 20, 1980"
1981,"Oakland Raiders beat Philadelphia Eagles (27 - 10) to win Super Bowl XV on January 25, 1981 in New Orleans, LA.",Super Bowl XV,Oakland Raiders,Philadelphia Eagles,(27 - 10),"New Orleans, LA","January 25, 1981"
1982,"San Francisco 49ers beat Cincinnati Bengals (26 - 21) to win Super Bowl XVI on January 24, 1982 in Pontiac, MI.",Super Bowl XVI,San Francisco 49ers,Cincinnati Bengals,(26 - 21),"Pontiac, MI","January 24, 1982"
1983,"Washington Redskins beat Miami Dolphins (27 - 17) to win Super Bowl XVII on January 30, 1983 in Pasadena, CA.",Super Bowl XVII,Washington Redskins,Miami Dolphins,(27 - 17),"Pasadena, CA","January 30, 1983"
1984,"Los Angeles Raiders beat Washington Redskins (38 - 9) to win Super Bowl XVIII on January 22, 1984 in Tampa Bay, FL.",Super Bowl XVIII,Los Angeles Raiders,Washington Redskins,(38 - 9),"Tampa Bay, FL","January 22, 1984"
1985,"San Francisco 49ers beat Miami Dolphins (38 - 16) to win Super Bowl XIX on January 20, 1985 in Stanford, CA.",Super Bowl XIX,San Francisco 49ers,Miami Dolphins,(38 - 16),"Stanford, CA","January 20, 1985"
1986,"Chicago Bears beat New England Patriots (46 - 10) to win Super Bowl XX on January 26, 1986 in New Orleans, LA.",Super Bowl XX,Chicago Bears,New England Patriots,(46 - 10),"New Orleans, LA","January 26, 1986"
1987,"New York Giants beat Denver Broncos (39 - 20) to win Super Bowl XXI on January 25, 1987 in Pasadena, CA.",Super Bowl XXI,New York Giants,Denver Broncos,(39 - 20),"Pasadena, CA","January 25, 1987"
1988,"Washington Redskins beat Denver Broncos (42 - 10) to win Super Bowl XXII on January 31, 1988 in San Diego, CA.",Super Bowl XXII,Washington Redskins,Denver Broncos,(42 - 10),"San Diego, CA","January 31, 1988"
1989,"San Francisco 49ers beat Cincinnati Bengals (20 - 16) to win Super Bowl XXIII on January 22, 1989 in Miami, FL.",Super Bowl XXIII,San Francisco 49ers,Cincinnati Bengals,(20 - 16),"Miami, FL","January 22, 1989"
1990,"San Francisco 49ers beat Denver Broncos (55 - 10) to win Super Bowl XXIV on January 28, 1990 in New Orleans, LA.",Super Bowl XXIV,San Francisco 49ers,Denver Broncos,(55 - 10),"New Orleans, LA","January 28, 1990"
1991,"New York Giants beat Buffalo Bills (20 - 19) to win Super Bowl XXV on January 27, 1991 in Tampa Bay, FL.",Super Bowl XXV,New York Giants,Buffalo Bills,(20 - 19),"Tampa Bay, FL","January 27, 1991"
1992,"Washington Redskins beat Buffalo Bills (37 - 24) to win Super Bowl XXVI on January 26, 1992 in Minneapolis, MN.",Super Bowl XXVI,Washington Redskins,Buffalo Bills,(37 - 24),"Minneapolis, MN","January 26, 1992"
1993,"Dallas Cowboys beat Buffalo Bills (52 - 17) to win Super Bowl XXVII on January 31, 1993 in Pasadena, CA.",Super Bowl XXVII,Dallas Cowboys,Buffalo Bills,(52 - 17),"Pasadena, CA","January 31, 1993"
1994,"Dallas Cowboys beat Buffalo Bills (30 - 13) to win Super Bowl XXVIII on January 30, 1994 in Atlanta, GA.",Super Bowl XXVIII,Dallas Cowboys,Buffalo Bills,(30 - 13),"Atlanta, GA","January 30, 1994"
1995,"San Francisco 49ers beat San Diego Chargers (49 - 26) to win Super Bowl XXIX on January 29, 1995 in Miami, FL.",Super Bowl XXIX,San Francisco 49ers,San Diego Chargers,(49 - 26),"Miami, FL","January 29, 1995"
1996,"Dallas Cowboys beat Pittsburgh Steelers (27 - 17) to win Super Bowl XXX on January 28, 1996 in Tempe, AZ.",Super Bowl XXX,Dallas Cowboys,Pittsburgh Steelers,(27 - 17),"Tempe, AZ","January 28, 1996"
1997,"Green Bay Packers beat New England Patriots (35 - 21) to win Super Bowl XXXI on January 26, 1997 in New Orleans, LA.",Super Bowl XXXI,Green Bay Packers,New England Patriots,(35 - 21),"New Orleans, LA","January 26, 1997"
1998,"Denver Broncos beat Green Bay Packers (31 - 24) to win Super Bowl XXXII on January 25, 1998 in San Diego, CA.",Super Bowl XXXII,Denver Broncos,Green Bay Packers,(31 - 24),"San Diego, CA","January 25, 1998"
1999,"Denver Broncos beat Atlanta Falcons (34 - 19) to win Super Bowl XXXIII on January 31, 1999 in Miami, FL.",Super Bowl XXXIII,Denver Broncos,Atlanta Falcons,(34 - 19),"Miami, FL","January 31, 1999"
2000,"St. Louis Rams beat Tennessee Titans (23 - 16) to win Super Bowl XXXIV on January 30, 2000 in Atlanta, GA.",Super Bowl XXXIV,St. Louis Rams,Tennessee Titans,(23 - 16),"Atlanta, GA","January 30, 2000"
2001,"Baltimore Ravens beat New York Giants (34 - 7) to win Super Bowl XXXV on January 28, 2001 in Tampa Bay, FL.",Super Bowl XXXV,Baltimore Ravens,New York Giants,(34 - 7),"Tampa Bay, FL","January 28, 2001"
2002,"New England Patriots beat St. Louis Rams (20 - 17) to win Super Bowl XXXVI on February 3, 2002 in New Orleans, LA.",Super Bowl XXXVI,New England Patriots,St. Louis Rams,(20 - 17),"New Orleans, LA","February 3, 2002"
