Year,Output,Winner,Loser,Score
1918,Toronto Arenas beat Vancouver Millionaires (3 - 2),Toronto Arenas,Vancouver Millionaires,(3 - 2)
1919,The Spanish Flu epidemic forced the cancellation of the 1919 Stanley Cup.,The Spanish Flu epidemic forced the cancellation of the 1919 Stanley Cup.,,
1920,Ottawa Senators beat Seattle Metropolitans (3 - 2),Ottawa Senators,Seattle Metropolitans,(3 - 2)
1921,Ottawa Senators beat Vancouver Millionaires (3 - 2),Ottawa Senators,Vancouver Millionaires,(3 - 2)
1922,Toronto St. Pats beat Vancouver Millionaires (3 - 2),Toronto St. Pats,Vancouver Millionaires,(3 - 2)
1923,Ottawa Senators beat Edmonton Eskimos (2 - 0),Ottawa Senators,Edmonton Eskimos,(2 - 0)
1924,Montreal Canadiens beat Calgary Tigers (2 - 0),Montreal Canadiens,Calgary Tigers,(2 - 0)
1925,Victoria Cougars beat Montreal Canadiens (3 - 1),Victoria Cougars,Montreal Canadiens,(3 - 1)
1926,Montreal Maroons beat Victoria Cougars (3 - 1),Montreal Maroons,Victoria Cougars,(3 - 1)
1927,Ottawa Senators beat Boston Bruins (2 - 0),Ottawa Senators,Boston Bruins,(2 - 0)
1928,New York Rangers beat Montreal Maroons (3 - 2),New York Rangers,Montreal Maroons,(3 - 2)
1929,Boston Bruins beat New York Rangers (2 - 0),Boston Bruins,New York Rangers,(2 - 0)
1930,Montreal Canadiens beat Boston Bruins (2 - 0),Montreal Canadiens,Boston Bruins,(2 - 0)
1931,Montreal Canadiens  beat Chicago Blackhawks (3 - 2),Montreal Canadiens ,Chicago Blackhawks,(3 - 2)
1932,Toronto Maple Leafs beat New York Rangers (3 - 0),Toronto Maple Leafs,New York Rangers,(3 - 0)
1933,New York Rangers beat Toronto Maple Leafs (3 - 1),New York Rangers,Toronto Maple Leafs,(3 - 1)
1934,Chicago Blackhawks beat Detroit Red Wings (3 - 1),Chicago Blackhawks,Detroit Red Wings,(3 - 1)
1935,Montreal Maroons beat Toronto Maple Leafs (3 - 0),Montreal Maroons,Toronto Maple Leafs,(3 - 0)
1936,Detroit Red Wings beat Toronto Maple Leafs (3 - 1),Detroit Red Wings,Toronto Maple Leafs,(3 - 1)
1937,Detroit Red Wings beat New York Rangers (3 - 2),Detroit Red Wings,New York Rangers,(3 - 2)
1938,Chicago Blackhawks beat Toronto Maple Leafs (3 - 1),Chicago Blackhawks,Toronto Maple Leafs,(3 - 1)
1939,Boston Bruins beat Toronto Maple Leafs (4 - 2),Boston Bruins,Toronto Maple Leafs,(4 - 2)
1940,New York Rangers beat Toronto Maple Leafs (4 - 2),New York Rangers,Toronto Maple Leafs,(4 - 2)
1941,Boston Bruins beat Detroit Red Wings (4 - 0),Boston Bruins,Detroit Red Wings,(4 - 0)
1942,Toronto Maple Leafs beat Detroit Red Wings (4 - 3),Toronto Maple Leafs,Detroit Red Wings,(4 - 3)
1943,Detroit Red Wings beat Boston Bruins (4 - 0),Detroit Red Wings,Boston Bruins,(4 - 0)
1944,Montreal Canadiens beat Chicago Blackhawks (4 - 0),Montreal Canadiens,Chicago Blackhawks,(4 - 0)
1945,Toronto Maple Leafs beat Detroit Red Wings (4 - 3),Toronto Maple Leafs,Detroit Red Wings,(4 - 3)
1946,Montreal Canadiens beat Boston Bruins (4 - 1),Montreal Canadiens,Boston Bruins,(4 - 1)
1947,Toronto Maple Leafs beat Montreal Canadiens (4 - 2),Toronto Maple Leafs,Montreal Canadiens,(4 - 2)
1948,Toronto Maple Leafs beat Detroit Red Wings (4 - 0),Toronto Maple Leafs,Detroit Red Wings,(4 - 0)
1949,Toronto Maple Leafs beat Detroit Red Wings (4 - 0),Toronto Maple Leafs,Detroit Red Wings,(4 - 0)
1950,Detroit Red Wings beat New York Rangers (4 - 3),Detroit Red Wings,New York Rangers,(4 - 3)
1951,Toronto Maple Leafs beat Montreal Canadiens (4 - 1),Toronto Maple Leafs,Montreal Canadiens,(4 - 1)
1952,Detroit Red Wings beat Montreal Canadiens (4 - 0),Detroit Red Wings,Montreal Canadiens,(4 - 0)
1953,Montreal Canadiens beat Boston Bruins (4 - 1),Montreal Canadiens,Boston Bruins,(4 - 1)
1954,Detroit Red Wings beat Montreal Canadiens (4 - 3),Detroit Red Wings,Montreal Canadiens,(4 - 3)
1955,Detroit Red Wings beat Montreal Canadiens (4 - 3),Detroit Red Wings,Montreal Canadiens,(4 - 3)
1956,Montreal Canadiens beat Detroit Red Wings (4 - 1),Montreal Canadiens,Detroit Red Wings,(4 - 1)
1957,Montreal Canadiens beat Boston Bruins (4 - 1),Montreal Canadiens,Boston Bruins,(4 - 1)
1958,Montreal Canadiens beat Boston Bruins (4 - 2),Montreal Canadiens,Boston Bruins,(4 - 2)
1959,Montreal Canadiens beat Toronto Maple Leafs (4 - 1),Montreal Canadiens,Toronto Maple Leafs,(4 - 1)
1960,Montreal Canadiens beat Toronto Maple Leafs (4 - 3),Montreal Canadiens,Toronto Maple Leafs,(4 - 3)
1961,Chicago Blackhawks beat Detroit Red Wings (4 - 2),Chicago Blackhawks,Detroit Red Wings,(4 - 2)
1962,Toronto Maple Leafs beat Chicago Blackhawks (4 - 2),Toronto Maple Leafs,Chicago Blackhawks,(4 - 2)
1963,Toronto Maple Leafs beat Detroit Red Wings (4 - 1),Toronto Maple Leafs,Detroit Red Wings,(4 - 1)
1964,Toronto Maple Leafs beat Detroit Red Wings (4 - 3),Toronto Maple Leafs,Detroit Red Wings,(4 - 3)
1965,Montreal Canadiens beat Chicago Blackhawks (4 - 3),Montreal Canadiens,Chicago Blackhawks,(4 - 3)
1966,Montreal Canadiens beat Detroit Red Wings (4 - 2),Montreal Canadiens,Detroit Red Wings,(4 - 2)
1967,Toronto Maple Leafs beat Montreal Canadiens (4 - 2),Toronto Maple Leafs,Montreal Canadiens,(4 - 2)
1968,Montreal Canadiens beat St. Louis Blues (4 - 0),Montreal Canadiens,St. Louis Blues,(4 - 0)
1969,Montreal Canadiens beat St. Louis Blues (4 - 0),Montreal Canadiens,St. Louis Blues,(4 - 0)
1970,Boston Bruins beat St. Louis Blues (4 - 0),Boston Bruins,St. Louis Blues,(4 - 0)
1971,Montreal Canadiens beat Chicago Blackhawks (4 - 3),Montreal Canadiens,Chicago Blackhawks,(4 - 3)
1972,Boston Bruins beat New York Rangers (4 - 2),Boston Bruins,New York Rangers,(4 - 2)
1973,Montreal Canadiens beat Chicago Blackhawks (4 - 2),Montreal Canadiens,Chicago Blackhawks,(4 - 2)
1974,Philadelphia Flyers beat Boston Bruins (4 - 2),Philadelphia Flyers,Boston Bruins,(4 - 2)
1975,Philadelphia Flyers beat Buffalo Sabres (4 - 2),Philadelphia Flyers,Buffalo Sabres,(4 - 2)
1976,Montreal Canadiens beat Philadelphia Flyers (4 - 0),Montreal Canadiens,Philadelphia Flyers,(4 - 0)
1977,Montreal Canadiens beat Boston Bruins (4 - 0),Montreal Canadiens,Boston Bruins,(4 - 0)
1978,Montreal Canadiens beat Boston Bruins (4 - 2),Montreal Canadiens,Boston Bruins,(4 - 2)
1979,Montreal Canadiens beat New York Rangers (4 - 1),Montreal Canadiens,New York Rangers,(4 - 1)
1980,New York Islanders beat Philadelphia Flyers (4 - 2),New York Islanders,Philadelphia Flyers,(4 - 2)
1981,New York Islanders beat Minnesota North Stars (4 - 1),New York Islanders,Minnesota North Stars,(4 - 1)
1982,New York Islanders beat Vancouver Canucks (4 - 0),New York Islanders,Vancouver Canucks,(4 - 0)
1983,New York Islanders beat Edmonton Oilers (4 - 0),New York Islanders,Edmonton Oilers,(4 - 0)
1984,Edmonton Oilers beat New York Islanders (4 - 1),Edmonton Oilers,New York Islanders,(4 - 1)
1985,Edmonton Oilers beat Philadelphia Fyers (4 - 1),Edmonton Oilers,Philadelphia Fyers,(4 - 1)
1986,Montreal Canadiens beat Calgary Flames (4 - 1),Montreal Canadiens,Calgary Flames,(4 - 1)
1987,Edmonton Oilers beat Philadelphia Flyers (4 - 3),Edmonton Oilers,Philadelphia Flyers,(4 - 3)
1988,Edmonton Oilers beat Boston Bruins (4 - 0),Edmonton Oilers,Boston Bruins,(4 - 0)
1989,Calgary Flames beat Montreal Canadiens (4 - 2),Calgary Flames,Montreal Canadiens,(4 - 2)
1990,Edmonton Oilers beat Boston Bruins (4 - 1),Edmonton Oilers,Boston Bruins,(4 - 1)
1991,Pittsburgh Penguins beat Minnesota North Stars (4 - 2),Pittsburgh Penguins,Minnesota North Stars,(4 - 2)
1992,Pittsburgh Penguins beat Chicago Blackhawks (4 - 0),Pittsburgh Penguins,Chicago Blackhawks,(4 - 0)
1993,Montreal Canadiens beat Los Angeles Kings (4 - 1),Montreal Canadiens,Los Angeles Kings,(4 - 1)
1994,New York Rangers beat Vancouver Canucks (4 - 3),New York Rangers,Vancouver Canucks,(4 - 3)
1995,New Jersey Devils beat Detroit Red Wings (4 - 0),New Jersey Devils,Detroit Red Wings,(4 - 0)
1996,Colorado Avalanche beat Florida Panthers (4 - 0),Colorado Avalanche,Florida Panthers,(4 - 0)
1997,Detroit Red Wings beat Philadelphia Flyers (4 - 0),Detroit Red Wings,Philadelphia Flyers,(4 - 0)
1998,Detroit Red Wings beat Washington Capitals (4 - 0),Detroit Red Wings,Washington Capitals,(4 - 0)
