Year,BabiesYear,BabiesDay,BabiesMinute
1950,"97,399,411","266,848",185
1951,"97,382,033","266,800",185
1952,"97,484,605","266,351",185
1953,"97,861,773","268,114",186
1954,"98,513,524","269,900",187
1955,"99,438,148","272,433",189
1956,"100,628,458","274,941",191
1957,"102,068,660","279,640",194
1958,"103,731,629","284,196",197
1959,"105,573,458","289,242",201
1960,"107,537,497","293,818",204
1961,"109,557,830","300,158",208
1962,"111,558,191","305,639",212
1963,"113,464,323","310,861",216
1964,"115,215,976","314,798",219
1965,"116,766,061","319,907",222
1966,"118,093,834","323,545",225
1967,"119,222,142","326,636",227
1968,"120,171,727","328,338",228
1969,"120,942,839","331,350",230
1970,"121,504,132","332,888",231
1971,"121,818,445","333,749",232
1972,"121,907,602","333,081",231
1973,"121,831,979","333,786",232
1974,"121,673,775","333,353",231
1975,"121,558,022","333,036",231
1976,"121,620,578","332,297",231
1977,"121,958,945","334,134",232
1978,"122,638,528","335,996",233
1979,"123,688,258","338,872",235
1980,"125,148,676","341,936",237
1981,"127,030,934","348,030",242
1982,"129,217,304","354,020",246
1983,"131,547,856","360,405",250
1984,"133,872,578","365,772",254
1985,"135,970,553","372,522",259
1986,"137,616,130","377,030",262
1987,"138,691,278","379,976",264
1988,"139,142,510","380,171",264
1989,"138,969,301","380,738",264
1990,"138,233,475","378,722",263
1991,"137,064,554","375,519",261
1992,"135,687,063","370,730",257
1993,"134,310,651","367,974",256
1994,"133,066,731","364,566",253
1995,"132,063,047","361,817",251
1996,"131,354,612","358,892",249
1997,"130,906,795","358,649",249
1998,"130,687,872","358,049",249
1999,"130,704,749","358,095",249
2000,"130,960,864","357,817",248
2001,"131,446,664","360,128",250
2002,"132,115,603","361,961",251
2003,"132,913,449","364,146",253
2004,"133,795,658","365,562",254
2005,"134,721,058","369,099",256
2006,"135,657,397","371,664",258
2007,"136,581,093","374,195",260
2008,"137,464,471","375,586",261
2009,"138,275,047","378,836",263
2010,"138,983,912","380,778",264
2011,"139,574,160","382,395",266
2012,"140,052,895","382,658",266
2013,"140,428,588","384,736",267
2014,"140,702,116","385,485",268
2015,"140,874,814","385,958",268
,,,
,,,
