Date,Artist,Song
8/4/1958,Ricky Nelson,Poor Little Fool
8/5/1958,Ricky Nelson,Poor Little Fool
8/6/1958,Ricky Nelson,Poor Little Fool
8/7/1958,Ricky Nelson,Poor Little Fool
8/8/1958,Ricky Nelson,Poor Little Fool
8/9/1958,Ricky Nelson,Poor Little Fool
8/10/1958,Ricky Nelson,Poor Little Fool
8/11/1958,Ricky Nelson,Poor Little Fool
8/12/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/13/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/14/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/15/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/16/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/17/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/18/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/19/1958,The Elegants,Little Star
8/20/1958,The Elegants,Little Star
8/21/1958,The Elegants,Little Star
8/22/1958,The Elegants,Little Star
8/23/1958,The Elegants,Little Star
8/24/1958,The Elegants,Little Star
8/25/1958,The Elegants,Little Star
8/26/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/27/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/28/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/29/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/30/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/31/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/1/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/2/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/3/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/4/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/5/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/6/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/7/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/8/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/9/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/10/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/11/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/12/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/13/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/14/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/15/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/16/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/17/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/18/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/19/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/20/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
