year,name,developer
1971,The Oregon Trail,Gameloft and MECC
1972,Pong,"Atari, Inc."
1973,Space Race,"Atari, Inc."
1974,Maze War,Steve Colley and Greg Thompson
1975,Gun Fight,Taito and Midway
1976,Breakout,"Atari, Inc."
1977,Zork,Infocom and VisiCorp
1978,Space Invaders,Taito
1979,Asteroids,"Atari, Inc."
1980,Pac-Man,"Atari, Inc. and Namco"
1981,Donkey Kong,"Nintendo and Atari, Inc."
1982,Pitfall!,Activision Blizzard
1983,Dragon's Lair,Digital Leisure
1984,Tetris,Sega
1985,Super Mario Bros.,Nintendo
1986,The Legend of Zelda,Nintendo
1987,Mike Tyson's Punch-Out!!,Nintendo
1988,Super Mario Bros. 3,Nintendo
1989,SimCity,Electronic Arts
1990,Super Mario World,Nintendo
1991,The Legend of Zelda: A Link to the Past,Nintendo
1992,Mortal Kombat,Midway Games
1993,Doom,id Software
1994,Super Metroid,Nintendo
1995,Chrono Trigger,Square Enix
1996,Super Mario 64,Nintendo
1997,Final Fantasy VII,Square Enix
1998,Metal Gear Solid,Konami
1999,Shenmue,Sega AM2
2000,The Sims,Electronic Arts
2001,Halo,Bungie
2002,Metroid Prime,Nintendo
2003,Star Wars: Knights of the Old Republic,Electronic Arts
2004,Half Life 2,Valve Corporation
2005,Kingdom Hearts II,Square Enix
2006,Gears of War,Epic Games
2007,BioShock,2K Games
2008,Metal Gear Solid 4: Guns of the Patriots,Kojima Productions
2009,Uncharted 2: Among Thieves,Naughty Dog
2010,Mass Effect 2,BioWare
2011,The Elder Scrolls V: Skyrim,Bethesda Game Studios
2012,Fire Emblem Awakening,Nintendo
2013,Grand Theft Auto V,Rockstar Games
2014,Dragon Age: Inquisition,BioWare
2015,The Witcher III: Wild Hunt,CD Projekt RED
2016,Overwatch,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Nintendo
