year,name,director,stars
1910,Becket,Peter Glenville,"Richard Burton, Peter O'Toole, John Gielgud"
1911,Their First Misunderstanding,"Thomas H. Ince,George Loane Tucker","Mary Pickford, Owen Moore, Thomas H. Ince"
1912,The Musketeers of Pig Alley,D.W. Griffith,"Elmer Booth, Lillian Gish, Clara T. Bracy"
1913,Traffic in Souls,George Loane Tucker,"Jane Gail, Ethel Grandin, William H. Turner"
1914,The Million Dollar Mystery,Howell Hansel,"Florence La Badie, Marguerite Snow, James Cruze"
1915,The Birth of a Nation,D.W. Griffith,"Lillian Gish, Mae Marsh, Henry B. Walthall"
1916,"20,000 Leagues Under the Sea",Stuart Paton,"Allen Holubar, Dan Hanlon, Edna Pendleton"
1917,A Romance of the Redwoods,Cecil B. DeMille,"Mary Pickford, Elliott Dexter, Tully Marshall"
1918,Mickey,"F. Richard Jones,James Young","Mabel Normand, George Nichols, Laura La Varnie"
1919,The Miracle Man,George Loane Tucker,"Lon Chaney, Betty Compson, Joseph J. Dowling"
1920,Something to Think About,Cecil B. DeMille,"Elliott Dexter, Gloria Swanson, Monte Blue"
1921,The Four Horsemen of the Apocalypse,Rex Ingram,"Rudolph Valentino, Alice Terry, Pomeroy Cannon"
1922,Robin Hood,Allan Dwan,"Wallace Beery, Sam De Grasse, Enid Bennett"
1923,The Covered Wagon,James Cruze,"J. Warren Kerrigan, Lois Wilson, Alan Hale"
1924,"Sherlock, Jr.",Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton"
1925,Ben-Hur: A Tale of the Christ,Fred Niblo and Charles Brabin,"Ramon Novarro, Francis X. Bushman, May McAvoy"
1926,Aloma of the South Seas,Maurice Tourneur,"Gilda Gray, Percy Marmont, Warner Baxter"
1927,The Jazz Singer,Alan Crosland,"Al Jolson, May McAvoy, Warner Oland"
1928,The Singing Fool,Lloyd Bacon,"Al Jolson, Betty Bronson, Josephine Dunn"
1929,Welcome Danger,Clyde Bruckman and Malcolm St. Clair,"Harold Lloyd, Barbara Kent, Noah Young"
1930,Tom Sawyer,John Cromwell,"Jackie Coogan, Junior Durkin, Mitzi Green"
1931,Frankenstein,James Whale,"Colin Clive, Mae Clarke, Boris Karloff"
1932,Shanghai Express,Josef von Sternberg,"Marlene Dietrich, Clive Brook, Anna May Wong"
1933,King Kong,Merian C. Cooper and Ernest B. Schoedsack,"Fay Wray, Robert Armstrong, Bruce Cabot"
1934,It Happened One Night,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly"
1935,Mutiny on the Bounty,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone"
1936,Modern Times,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
1937,Snow White and the Seven Dwarfs,William Cottrell and David Hand ,"Adriana Caselotti, Harry Stockwell, Lucille La Verne"
1938,The Adventures of Robin Hood,Michael Curtiz and William Keighley,"Errol Flynn, Olivia de Havilland, Basil Rathbone"
1939,Gone With The Wind,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell"
1940,Pinocchio,Norman Ferguson and T. Hee,"Dickie Jones, Christian Rub, Jack Bailey"
1941,Sergeant York,Howard Hawks,"Gary Cooper, Walter Brennan, Joan Leslie"
1942,Bambi,James Algar and Samuel Armstrong,"Hardie Albright, Stan Alexander, Bobette Audrey"
1943,This Is the Army,Michael Curtiz,"George Murphy, Joan Leslie, George Tobias"
1944,Going My Way,Leo McCarey,"Bing Crosby, Barry Fitzgerald, Frank McHugh"
1945,Mom and Dad,William Beaudine,"June Carlson, Hardie Albright, Lois Austin"
1946,Song of the South,Wilfred Jackson and Harve Foster,"Ruth Warrick, Bobby Driscoll, James Baskett"
1947,Forever Amber,Otto Preminger and John M. Stahl,"Linda Darnell, Cornel Wilde, Richard Greene"
1948,The Snake Pit,Anatole Litvak,"Olivia de Havilland, Mark Stevens, Leo Genn"
1949,Samson and Delilah,Cecil B. DeMille,"Hedy Lamarr, Victor Mature, George Sanders"
1950,Cinderella,Clyde Geronimi and Wilfred Jackson|1 more credit»,"Ilene Woods, James MacDonald, Eleanor Audley"
1951,Quo Vadis,Mervyn LeRoy,"Robert Taylor, Deborah Kerr, Leo Genn"
1952,This is Cinerama,Merian C. Cooper and Gunther von Fritsch,"Lowell Thomas, Kathy Darlyn, Toni Valk"
1953,Peter Pan,P.J. Hogan,"Jeremy Sumpter, Jason Isaacs, Olivia Williams"
1954,Rear Window,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey"
1955,Lady and the Tramp,Clyde Geronimi and Wilfred Jackson,"Barbara Luddy, Larry Roberts, Peggy Lee"
1956,The Ten Commandments,Cecil B. DeMille,"Charlton Heston, Yul Brynner, Anne Baxter"
1957,The Bridge on the River Kwai,David Lean,"William Holden, Alec Guinness, Jack Hawkins"
1958,South Pacific,Joshua Logan,"Rossano Brazzi, Mitzi Gaynor, John Kerr"
1959,Ben-Hur,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd"
1960,Spartacus,Stanley Kubrick,"Kirk Douglas, Laurence Olivier, Jean Simmons"
1961,West Side Story,Jerome Robbins and Robert Wise,"Natalie Wood, George Chakiris, Richard Beymer"
