Year,Output,Winner,Loser,Score
1947,Philadelphia Warriors beat Chicago Stags (4 - 1),Philadelphia Warriors,Chicago Stags,(4 - 1)
1948,Baltimore Bullets beat Philadelphia Warriors (4 - 2),Baltimore Bullets,Philadelphia Warriors,(4 - 2)
1949,Minneapolis Lakers beat Washington Capitols (4 - 2),Minneapolis Lakers,Washington Capitols,(4 - 2)
1950,Minneapolis Lakers beat Syracuse Nationals (4 - 2),Minneapolis Lakers,Syracuse Nationals,(4 - 2)
1951,Rochester Royals beat New York Knicks (4 - 3),Rochester Royals,New York Knicks,(4 - 3)
1952,Minneapolis Lakers beat New York Knicks (4 - 3),Minneapolis Lakers,New York Knicks,(4 - 3)
1953,Minneapolis Lakers beat New York Knicks (4 - 1),Minneapolis Lakers,New York Knicks,(4 - 1)
1954,Minneapolis Lakers beat Syracuse Nationals (4 - 3),Minneapolis Lakers,Syracuse Nationals,(4 - 3)
1955,Syracuse Nationals beat Fort Wayne Pistons (4 - 3),Syracuse Nationals,Fort Wayne Pistons,(4 - 3)
1956,Philadelphia Warriors beat Fort Wayne Pistons (4 - 1),Philadelphia Warriors,Fort Wayne Pistons,(4 - 1)
1957,Boston Celtics beat St. Louis Hawks (4 - 3),Boston Celtics,St. Louis Hawks,(4 - 3)
1958,St. Louis Hawks beat Boston Celtics (4 - 2),St. Louis Hawks,Boston Celtics,(4 - 2)
1959,Boston Celtics beat Minneapolis Lakers (4 - 0),Boston Celtics,Minneapolis Lakers,(4 - 0)
1960,Boston Celtics beat St. Louis Hawks (4 - 3),Boston Celtics,St. Louis Hawks,(4 - 3)
1961,Boston Celtics beat St. Louis Hawks (4 - 1),Boston Celtics,St. Louis Hawks,(4 - 1)
1962,Boston Celtics beat Los Angeles Lakers (4 - 3),Boston Celtics,Los Angeles Lakers,(4 - 3)
1963,Boston Celtics beat Los Angeles Lakers (4 - 2),Boston Celtics,Los Angeles Lakers,(4 - 2)
1964,Boston Celtics beat San Francisco Warriors (4 - 1),Boston Celtics,San Francisco Warriors,(4 - 1)
1965,Boston Celtics beat Los Angeles Lakers (4 - 1),Boston Celtics,Los Angeles Lakers,(4 - 1)
1966,Boston Celtics beat Los Angeles Lakers (4 - 3),Boston Celtics,Los Angeles Lakers,(4 - 3)
1967,Philadelphia 76ers beat San Francisco Warriors (4 - 2),Philadelphia 76ers,San Francisco Warriors,(4 - 2)
1968,Boston Celtics beat Los Angeles Lakers (4 - 2),Boston Celtics,Los Angeles Lakers,(4 - 2)
1969,Boston Celtics beat Los Angeles Lakers (4 - 3),Boston Celtics,Los Angeles Lakers,(4 - 3)
1970,New York Knicks beat Los Angeles Lakers (4 - 3),New York Knicks,Los Angeles Lakers,(4 - 3)
1971,Milwaukee Bucks beat Baltimore Bullets (4 - 0),Milwaukee Bucks,Baltimore Bullets,(4 - 0)
1972,Los Angeles Lakers beat New York Knicks (4 - 1),Los Angeles Lakers,New York Knicks,(4 - 1)
1973,New York Knicks beat Los Angeles Lakers (4 - 1),New York Knicks,Los Angeles Lakers,(4 - 1)
1974,Boston Celtics beat Milwaukee Bucks (4 - 3),Boston Celtics,Milwaukee Bucks,(4 - 3)
1975,Golden State Warriors beat Washington Bullets (4 - 0),Golden State Warriors,Washington Bullets,(4 - 0)
1976,Boston Celtics beat Phoenix Suns (4 - 2),Boston Celtics,Phoenix Suns,(4 - 2)
1977,Portland Trail Blazers beat Philadelphia 76ers (4 - 2),Portland Trail Blazers,Philadelphia 76ers,(4 - 2)
1978,Washington Bullets beat Seattle SuperSonics (4 - 3),Washington Bullets,Seattle SuperSonics,(4 - 3)
1979,Seattle SuperSonics beat Washington Bullets (4 - 1),Seattle SuperSonics,Washington Bullets,(4 - 1)
1980,Los Angeles Lakers beat Philadelphia 76ers (4 - 2),Los Angeles Lakers,Philadelphia 76ers,(4 - 2)
1981,Boston Celtics beat Houston Rockets (4 - 2),Boston Celtics,Houston Rockets,(4 - 2)
1982,Los Angeles Lakers beat Philadelphia 76ers (4 - 2),Los Angeles Lakers,Philadelphia 76ers,(4 - 2)
