Presidency,President,Took office,Left office,Party,Home State,Wikipedia,
1,George Washington,04/30/1789,3/04/1797,Independent,Virginia,https://en.wikipedia.org/wiki/George_Washington,
2,John Adams,3/04/1797,3/04/1801,Federalist,Massachusetts,https://en.wikipedia.org/wiki/John_Adams,
3,Thomas Jefferson,3/04/1801,3/04/1809,Democratic-Republican,Virginia,https://en.wikipedia.org/wiki/Thomas_Jefferson,
4,James Madison,3/04/1809,3/04/1817,Democratic-Republican,Virginia,https://en.wikipedia.org/wiki/James_Madison,
5,James Monroe,3/04/1817,3/04/1825,Democratic-Republican,Virginia,https://en.wikipedia.org/wiki/James_Monroe,
6,John Quincy Adams,3/04/1825,3/04/1829,Democratic-Republican/National Republican,Massachusetts,https://en.wikipedia.org/wiki/John_Quincy_Adams,
7,Andrew Jackson,3/04/1829,3/04/1837,Democratic,Tennessee,https://en.wikipedia.org/wiki/Andrew_Jackson,
8,Martin Van Buren,3/04/1837,3/04/1841,Democratic,New York,https://en.wikipedia.org/wiki/Martin_Van_Buren,
9,William Henry Harrison,3/04/1841,4/04/1841,Whig,Ohio,https://en.wikipedia.org/wiki/William_Henry_Harrison,
10,John Tyler,4/04/1841,3/04/1845,Whig,Virginia,https://en.wikipedia.org/wiki/John_Tyler,
11,James K. Polk,3/04/1845,3/04/1849,Democratic,Tennessee,https://en.wikipedia.org/wiki/James_K._Polk,
12,Zachary Taylor,3/04/1849,7/09/1850,Whig,Louisiana,https://en.wikipedia.org/wiki/Zachary_Taylor,
13,Millard Fillmore,7/09/1850,3/04/1853,Whig,New York,https://en.wikipedia.org/wiki/Millard_Fillmore,
14,Franklin Pierce,3/04/1853,4/03/1857,Democratic,New Hampshire,https://en.wikipedia.org/wiki/Franklin_Pierce,
15,James Buchanan,3/04/1857,3/04/1861,Democratic,Pennsylvania,https://en.wikipedia.org/wiki/James_Buchanan,
16,Abraham Lincoln,3/04/1861,4/15/1865,Republican/National Union,Illinois,https://en.wikipedia.org/wiki/Abraham_Lincoln,
17,Andrew Johnson,4/15/1865,3/04/1869,Democratic/National Union,Tennessee,https://en.wikipedia.org/wiki/Andrew_Johnson,
18,Ulysses S. Grant,3/04/1869,3/04/1877,Republican,Ohio,https://en.wikipedia.org/wiki/Ulysses_S._Grant,
19,Rutherford B. Hayes,3/04/1877,3/04/1881,Republican,Ohio,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,
20,James A. Garfield,3/04/1881,9/19/1881,Republican,Ohio,https://en.wikipedia.org/wiki/James_A._Garfield,
21,Chester A. Arthur,9/19/1881,3/04/1885,Republican,New York,https://en.wikipedia.org/wiki/Chester_A._Arthur,
