date,event,day,year
1/1,"Prophet Muhammad sets out with his army towards Mecca, capturing it bloodlessly.",1-Jan,630
1/1,"The International Commission on Zoological Nomenclature establish the ""starting point"" for standardized species names across the animal kingdom, based on the binomial nomenclature by Carolus Linnaeus 10th edition of Systema Naturae.",1-Jan,1758
1/1,Emancipation Proclamation issued by Abraham Lincoln to free slaves in US confederate states.,1-Jan,1863
1/1,Ellis Island opens as a US immigration inspection station - it would go on to be the gateway for more than 12 million people.,1-Jan,1892
1/1,German physicist Wilhelm Röntgen announces his discovery of x-rays.,1-Jan,1896
1/1,"European Economic Community, better known as the European Common Market starts operation.",1-Jan,1958
1/2,"The Alamanni cross the frozen Rhine River in large numbers, invading the Roman Empire.",2-Jan,366
1/2,Muhammad XII. (Boabdil) last Nasird ruler of Moorish fortress Alhambra surrenders to the Catholic Monarchs.,2-Jan,1492
1/2,Tsar Ivan the Terrible's march to Novgorod begins.,2-Jan,1570
1/2,American anarcho-syndicalist union known as the Industrial Workers of the World forms.,2-Jan,1905
1/2,World War II: the 28 nations at war with Axis powers pledge to make no separate peace deals.,2-Jan,1942
1/2,Mahatma Gandhi begins march for peace in East-Bengali.,2-Jan,1947
1/3,Leonardo da Vinci unsuccessfully tests a flying machine.,3-Jan,1496
1/3,Martin Luther excommunicated by Pope Leo X from the Roman Catholic Church.,3-Jan,1521
1/3,"General George Washington's revolutionary army defeats British forces at Battle of Princeton, New Jersey.",3-Jan,1777
1/3,"Benito Mussolini dissolves the Italian parliament and proclaims himself dictator of Italy, taking the title ""Il Duce"" (the Leader).",3-Jan,1925
1/3,"Apple Computer, Inc incorporates.",3-Jan,1977
1/3,"Israel government confirms resettlement of 10,000 Ethiopian Jews.",3-Jan,1985
1/4,Samuel Colt sells his first revolver pistol to the United States government.,4-Jan,1847
1/4,"New York Stock Exchange opens its 1st permanent headquarters at 10-12 Broad St, near Wall Street in New York City.",4-Jan,1865
1/4,Luna 1 (Mechta) becomes 1st craft to leave Earth's gravity.,4-Jan,1959
1/4,Longest recorded strike ends as the Danish barbers' assistants end a 33 year strike.,4-Jan,1961
1/4,The 110th United States Congress convenes and elects Nancy Pelosi as the 1st female Speaker of the House.,4-Jan,2007
1/5,"Battle of Nancy, Burgundy vs Switzerland, 7,000 + killed including their leader Charles Duke of Burgundy.",5-Jan,1477
1/5,"British naval expedition led by Benedict Arnold burns Richmond, Virginia.",5-Jan,1781
1/5,National Socialist Party (Nazi) forms as German Farmers' Party.,5-Jan,1919
1/5,"Mao Zedong writes ""A Single Spark Can Start a Prairie Fire"".",5-Jan,1930
1/5,"US President Harry Truman labels his administration the ""Fair Deal"".",5-Jan,1949
1/6,"The English Rump Parliament votes to put Charles I on trial for treason and other ""high crimes"".",6-Jan,1649
1/6,"Alfred Wegener, geophysicist and meteorologist, presents his controversial theory of continental drift in a lecture at a the Geological Association (Geologischen Vereinigung) at the Senckenberg-Museum, Frankfurt..",6-Jan,1912
1/6,"US President Franklin Roosevelt makes his ""Four Freedoms"" speech (freedom of speech and worship; freedom from want and fear) during his US State of Union address.",6-Jan,1941
1/6,Astronomers at University of California see 1st sight of birth of a galaxy.,6-Jan,1987
1/7,"Galileo Galilei discovers the first three moons of Jupiter: Io, Europa & Ganymede.",7-Jan,1610
1/7,Typewriter patented by Englishman Henry Mill (built years later).,7-Jan,1714
1/7,"Chinese Kuomintang forces under orders from Chiang Kai-shek open fire on the surrounded Communist New Fourth Army at Maolin, Anhui Province, killing or capturing 7,000 troops.",7-Jan,1941
1/7,US President Harry Truman announces American development of the hydrogen bomb.,7-Jan,1953
1/7,"Georgetown-IBM experiment, 1st public demonstration of a machine translation system, is held at IBM's head office in New York.",7-Jan,1954
1/7,Impeachment trial of President Bill Clinton begins in the US Senate..,7-Jan,1999
1/8,"Oldest surviving commercial newspaper begins (Haarlem, Netherlands).",8-Jan,1656
1/8,1st US President George Washington delivers 1st state of the union address.,8-Jan,1790
1/8,US national debt is $0 for the first and only time in history.,8-Jan,1835
1/8,"Chiefs, representatives of people's and church organisations, and other prominent individuals form the African National Congress and declare its aim to bring all Africans together as one people to defend their rights and freedoms.",8-Jan,1912
1/8,WWI: ANZAC forces withdraw from the Gallipoli Peninsula after Ottoman forces successfully defend access to Constantinople.,8-Jan,1916
1/8,Abdulaziz Ibn Saud becomes King of Nejd and Hejaz; forerunner of the Kingdom of Saudi Arabia.,8-Jan,1926
1/9,"Judges' investigations for the trial of Joan of Arc begin in Rouen, France, the seat of the English occupation government.",9-Jan,1431
1/9,Afghans defeat Marathas in battle of Barari Ghat.,9-Jan,1760
1/9,Daguerreotype photo process announced at French Academy of Science.,9-Jan,1839
1/9,Ernest Shackleton as part of the British Nimrod Expedition reaches a record farthest South latitude (88°23' south).,9-Jan,1909
1/9,"6,000 Jews exterminated in pogrom in Bucharest, Romania.",9-Jan,1941
1/9,Apple Inc CEO Steve Jobs announces the iPhone.,9-Jan,2007
1/10,Order of Golden Fleece established in Austria-Hungary & Spain.,10-Jan,1429
1/10,Stephen III of Moldavia defeats the Ottoman Empire at the Battle of Vaslui..,10-Jan,1475
1/10,"Common Sense Pamphlet by Thomas Paine, published advocating American independence.",10-Jan,1776
1/10,Tea from India 1st arrives in UK.,10-Jan,1839
1/10,UN General Assembly meets for 1st time in London.,10-Jan,1946
1/11,"Jacob van Neck's fleet leaves Bantam, Java in modern day Indonesia with 1 million pounds of pepper and cloves and a further half a ship full of nutmeg, mace and cinnamon.",11-Jan,1599
1/11,"First public demonstration of telegraph message sent using dots & dashes at Speedwell Ironworks, Morristown, New Jersey by Samuel Morse and Alfred Vail.",11-Jan,1838
1/11,"Insulin first used on humans to treat diabetes, on Leonard Thompson, 14, of Canada.",11-Jan,1922
1/11,1st government report warning by US Surgeon General Luther Terry that smoking may be hazardous.,11-Jan,1964
1/12,"Gustav I of Sweden crowned King of Sweden, rules for 37 years and becomes known as the ""father of the nation"".",12-Jan,1528
1/12,"Bayinnaung crowned King of Burma, goes on to assemble the largest empire in the history of Southeast Asia.",12-Jan,1554
1/12,"Yohannes IV is crowned Emperor of Ethiopia in Axum, the first imperial coronation in that city in over 200 years..",12-Jan,1872
1/12,Mahatma Gandhi begins his final fast.,12-Jan,1948
1/12,"Earthquake occurs in Haiti killing approximately 160,000 and destroying the majority of the capital Port-au-Prince.",12-Jan,2010
1/13,"Nika riots begin in Constantinople, revolt against Emperor Justinian, prompted by chariot racing.",13-Jan,532
1/13,"John Walter publishes 1st issue of ""The Times"" of London.",13-Jan,1785
1/13,"Hitler declares ""Total War"".",13-Jan,1943
1/13,"Colonel Odumegwu Ojukwu flees Biafra into exile, leaving his deputy Philip Effiong to surrender to the Nigerian army, unofficially ending the Nigerian Civil War.",13-Jan,1970
1/13,Microsoft chairman Bill Gates steps aside as chief executive and promotes company president Steve Ballmer to the position.,13-Jan,2000
1/14,"Charles V and Francis I sign the Treaty of Madrid, forcing Francis to give up claims to Burgundy, Italy and Flanders.",14-Jan,1526
1/14,"United East Indian Company conquers city of Malacca, 7,000 killed.",14-Jan,1641
1/14,Spanish King Philip V abdicates throne.,14-Jan,1724
1/14,US Revolutionary War ends with the US Congress of the Confederation ratifying the Treaty of Paris.,14-Jan,1784
1/14,"Tunisian president Ben Ali, flees to Saudi Arabia after popular protests known as the Jasmine Revolution.",14-Jan,2011
1/15,Henry VIII declares himself head of the Church in England.,15-Jan,1535
1/15,Elizabeth I crowned Queen of England in Westminster Abbey.,15-Jan,1559
1/15,"British Museum opens in Montague House, London.",15-Jan,1759
1/15,"Abdulaziz Ibn Saud leads 40 men over the walls of Riyadh and takes the city, marking the beginning of the Third Saudi State.",15-Jan,1902
1/15,Wikipedia a free Wiki or content encyclopedia is launched by Jimmy Wales and Larry Sanger.,15-Jan,2001
1/16,The Medici family is appointed official banker of the Papacy.,16-Jan,1412
1/16,Ivan IV the Terrible (17) crowns himself first tsar of Moscow.,16-Jan,1547
1/16,"The first edition of ""El ingenioso hidalgo Don Quijote de la Mancha"" (Book One of Don Quixote) by Miguel de Cervantes is published in Madrid.",16-Jan,1605
1/16,French King Louis XVI sentenced to death by the National Convention during the French Revolution.,16-Jan,1793
1/16,British House of Commons accepts Home Rule for Ireland (but the Great War gets in the way of it happening).,16-Jan,1913
1/16,1st assembly of the League of Nations is held in Paris.,16-Jan,1920
1/17,Captain James Cook becomes 1st to cross Antarctic Circle (66° 33' S).,17-Jan,1773
1/17,"A group of Modoc warriors defeats the United States Army in the First Battle of the Stronghold, a part of the Modoc War.",17-Jan,1873
1/17,"Captain Robert Scott's expedition arrives at the South Pole, one month after Roald Amundsen.",17-Jan,1912
1/17,United Nations Security Council holds its 1st meeting.,17-Jan,1946
1/17,"Operation Desert Storm begins, with US-led coalition forces bombing Iraq, during the Gulf War.",17-Jan,1991
1/18,"Nika uprising against Emperor Justinian in Constantinople fails, 30,000 killed by troops loyal to the Emperor in the Hippodrome.",18-Jan,532
1/18,"King Naresuan of Siam kills Crown Prince Minchit Sra of Burma in single combat, date is now observed as Royal Thai Armed Forces day.",18-Jan,1591
1/18,First elements of the First Fleet carrying 736 convicts from England to Australia arrives at Botany Bay to set up a penal colony.,18-Jan,1788
1/18,José de San Martín leads a revolutionary army over the Andes to attack Spanish royalists in Chile.,18-Jan,1817
1/18,Second German Empire proclaimed by Kaiser Wilhelm I and Otto von Bismarck.,18-Jan,1871
1/18,"Soviets announce they have broken the long siege of Leningrad by Nazi Germany by opening a narrow land corridor, though the siege would not be fully lifted until a year later.",18-Jan,1943
1/19,Theodosius installed as co-emperor of the Eastern Roman Empire.,19-Jan,379
1/19,"Peninsular War: After a ten day siege, Arthur Wellesley, 1st Duke of Wellington, orders British soldiers of the Light and third divisions to storm Ciudad Rodrigo.",19-Jan,1812
1/19,"The first electric lighting system employing overhead wires, built by Thomas Edison, begins service at Roselle, New Jersey.",19-Jan,1883
1/19,Indira Gandhi elected India's 4th Prime Minister.,19-Jan,1966
1/19,Calcium deposits are discovered on Mars by NASA’s Curiosity Rover.,19-Jan,2013
1/20,"First English Parliament summoned other than by royal command (in this instance by Simon de Montfort, Earl of Leicester) mets in Westminster Hall.",20-Jan,1265
1/20,China cedes Hong Kong to the British during the 1st Opium War.,20-Jan,1841
1/20,Republic of Turkey declared out of remnants of Ottoman Empire.,20-Jan,1921
1/20,"Nazi officials hold notorious Wannsee conference in Berlin to organise the ""final solution"", the extermination of Europe's Jews.",20-Jan,1942
1/20,Franklin D. Roosevelt sworn-in for an unprecedented (and never to be repeated) 4th term as US President.,20-Jan,1945
1/20,Ronald Reagan inaugurated as the 40th President of the United States of America.,20-Jan,1981
1/20,"Barack Obama, inaugurated as the 44th President of the United States of America, becomes the United States' first African-American president.",20-Jan,2009
