IMDB,Title,Year,Date,fulldate,month,justmonth,original,Type,status,season_number,Released,popular,popularity,imdbRating,imdbVotes,Rated,genretext,Genre,Runtime,number_of_episodes,Language,Country,budget,boxoffice,Plot,overview,stars,Actors,cast1,cast2,cast3,char1,char2,char3,directed_created,producedby,Director,created_by,production_companies,homepage,tmdb,poster_path,backdrop_path,poster,backdrop,netflix,IDs
tt0091042,Ferris Bueller's Day Off,1986,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,6/11/1986,,19.416,7.8,"351,591",PG-13,Comedy,Comedy,103,,"English, German",United States,6000000,Not Available,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.","After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.","Matthew Broderick, Alan Ruck and Mia Sara","Matthew Broderick, Alan Ruck, Mia Sara",Matthew Broderick,Alan Ruck,Mia Sara,Ferris Bueller,Cameron Frye,Sloane Peterson, directed by John Hughes.,"Ferris Bueller's Day Off was produced by Paramount, with a budget of [morph money=""6000000"" display=""usd abbr""] and was initially released on [datecalc date=""6/11/1986"" display=""mmmm d, yyyy""].",John Hughes,,Paramount,http://www.paramount.com/movies/ferris-buellers-day,9377,/9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg,/zmVq7y63z8NewluK7MUBfTxuyvD.jpg,tt0091042-poster.jpg,tt0091042-fanart.jpg,https://www.netflix.com/search?q=Ferris Bueller's Day Off,1804
tt0109035,Above the Rim,1994,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,3/23/1994,,11.341,6.6,"15,527",R,Crime,"Crime, Drama, Sport",96,,English,United States,Not available,Not Available,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.","Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.","Duane Martin, Tupac Shakur and Leon","Duane Martin, Tupac Shakur, Leon",Duane Martin,Tupac Shakur,Bernie Mac,Kyle Lee Watson,Birdie,Flip, directed by Jeff Pollack.,"Above the Rim was produced by New Line Cinema and was initially released on [datecalc date=""3/23/1994"" display=""mmmm d, yyyy""].",Jeff Pollack,,New Line Cinema,http://www.newline.com/properties/abovetherim.html,19092,/q7CCx8aj8uME1fBa4KzTMdeWxXu.jpg,/vEBGkO0D8Feh7jpwZGZ4UqEZZxQ.jpg,tt0109035-poster.jpg,tt0109035-fanart.jpg,https://www.netflix.com/search?q=Above the Rim,1796
tt0110322,Legends of the Fall,1994,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,1/13/1995,,30.02,7.5,"163,510",R,Drama,"Drama, Romance, War",133,,"English, Cornish",United States,30000000,Not Available,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.","An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.","Brad Pitt, Anthony Hopkins and Aidan Quinn","Brad Pitt, Anthony Hopkins, Aidan Quinn",Brad Pitt,Anthony Hopkins,Aidan Quinn,Tristan Ludlow,Col. William Ludlow,Alfred Ludlow, directed by Edward Zwick.,"Legends of the Fall was produced by Bedford Falls Productions, TriStar Pictures, and Pangaea, with a budget of [morph money=""30000000"" display=""usd abbr""] and was initially released on [datecalc date=""1/13/1995"" display=""mmmm d, yyyy""].",Edward Zwick,,"Bedford Falls Productions, TriStar Pictures, Pangaea",#,4476,/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg,/yrrGrMObuLGXs5k26pEz51xinGE.jpg,tt0110322-poster.jpg,tt0110322-fanart.jpg,https://www.netflix.com/search?q=Legends of the Fall,1807
tt0117705,Space Jam,1996,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,11/15/1996,,36.927,6.5,"195,901",PG,Animation,"Animation, Adventure, Comedy",88,,English,United States,80000000,Not Available,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.","Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.","Michael Jordan, Wayne Knight and Theresa Randle","Michael Jordan, Wayne Knight, Theresa Randle",Michael Jordan,Wayne Knight,Theresa Randle,Michael Jordan,Stan Podolak,Juanita Jordan, directed by Joe Pytka.,"Space Jam was produced by Warner Bros. Pictures, Warner Bros. Animation, Northern Lights Entertainment, and Courtside Seats Productions, with a budget of [morph money=""80000000"" display=""usd abbr""] and was initially released on [datecalc date=""11/15/1996"" display=""mmmm d, yyyy""].",Joe Pytka,,"Warner Bros. Pictures, Warner Bros. Animation, Northern Lights Entertainment, Courtside Seats Productions",https://spacejam.com,2300,/7Jd4M4vc6IvzL2sLDKkjWswF5rO.jpg,/6Qen6MKYAV7SIQksNlZQNw6fSQl.jpg,tt0117705-poster.jpg,tt0117705-fanart.jpg,https://www.netflix.com/search?q=Space Jam,1819
tt0119654,Men in Black,1997,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,7/2/1997,,48.63,7.3,"557,155",PG-13,Action,"Action, Adventure, Comedy",98,,"English, Spanish",United States,90000000,Not Available,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.","Tommy Lee Jones, Will Smith and Linda Fiorentino","Tommy Lee Jones, Will Smith, Linda Fiorentino",Tommy Lee Jones,Will Smith,Linda Fiorentino,Agent K,James Edwards / Agent J,Dr. Laurel Weaver / Agent L, directed by Barry Sonnenfeld.,"Men in Black was produced by Columbia Pictures, Amblin Entertainment, and Parkes+MacDonald Image Nation, with a budget of [morph money=""90000000"" display=""usd abbr""] and was initially released on [datecalc date=""7/2/1997"" display=""mmmm d, yyyy""].",Barry Sonnenfeld,,"Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation",https://www.sonypictures.com/movies/meninblack,607,/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg,/xKz6YaOvmnIJQ3MYIpnaa7FBaAB.jpg,tt0119654-poster.jpg,tt0119654-fanart.jpg,https://www.netflix.com/search?q=Men in Black,1810
tt0120663,Eyes Wide Shut,1999,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,7/16/1999,,24.124,7.5,"334,502",TV-MA,Drama,"Drama, Mystery, Thriller",159,,English,"United Kingdom, United States",65000000,Not Available,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.","Tom Cruise, Nicole Kidman and Todd Field","Tom Cruise, Nicole Kidman, Todd Field",Tom Cruise,Nicole Kidman,Sydney Pollack,Dr. William 'Bill' Harford,Alice Harford,Victor Ziegler, directed by Stanley Kubrick.,"Eyes Wide Shut was produced by Warner Bros. Pictures, Hobby Films, Pole Star, and Stanley Kubrick Productions, with a budget of [morph money=""65000000"" display=""usd abbr""] and was initially released on [datecalc date=""7/16/1999"" display=""mmmm d, yyyy""].",Stanley Kubrick,,"Warner Bros. Pictures, Hobby Films, Pole Star, Stanley Kubrick Productions",http://eyeswideshut.warnerbros.com/,345,/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg,/AklO85uUDAL3O7iSOtFGfqT3w8n.jpg,tt0120663-poster.jpg,tt0120663-fanart.jpg,https://www.netflix.com/search?q=Eyes Wide Shut,1803
tt0120912,Men in Black II,2002,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,7/3/2002,,45.009,6.1,"369,994",PG-13,Action,"Action, Adventure, Comedy",88,,English,United States,140000000,Not Available,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.","Tommy Lee Jones, Will Smith and Rip Torn","Tommy Lee Jones, Will Smith, Rip Torn",Will Smith,Tommy Lee Jones,Lara Flynn Boyle,Jay,Kay,Serleena, directed by Barry Sonnenfeld.,"Men in Black II was produced by Columbia Pictures, Amblin Entertainment, and Parkes+MacDonald Image Nation, with a budget of [morph money=""140000000"" display=""usd abbr""] and was initially released on [datecalc date=""7/3/2002"" display=""mmmm d, yyyy""].",Barry Sonnenfeld,,"Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation",https://www.sonypictures.com/movies/meninblackii,608,/enA22EPyzc2WQ1VVyY7zxresQQr.jpg,/xKz6YaOvmnIJQ3MYIpnaa7FBaAB.jpg,tt0120912-poster.jpg,tt0120912-fanart.jpg,https://www.netflix.com/search?q=Men in Black II,1811
tt0145487,Spider-Man,2002,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,5/3/2002,Popular,106.512,7.4,"799,703",PG-13,Action,"Action, Adventure, Sci-Fi",121,,English,United States,139000000,Not Available,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.","Tobey Maguire, Kirsten Dunst and Willem Dafoe","Tobey Maguire, Kirsten Dunst, Willem Dafoe",Tobey Maguire,Willem Dafoe,Kirsten Dunst,Spider-Man / Peter Parker,Green Goblin / Norman Osborn,Mary Jane Watson, directed by Sam Raimi.,"Spider-Man was produced by Laura Ziskin Productions, and Marvel Enterprises, with a budget of [morph money=""139000000"" display=""usd abbr""] and was initially released on [datecalc date=""5/3/2002"" display=""mmmm d, yyyy""].",Sam Raimi,,"Laura Ziskin Productions, Marvel Enterprises",https://www.sonypictures.com/movies/spiderman,557,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg,tt0145487-poster.jpg,tt0145487-fanart.jpg,https://www.netflix.com/search?q=Spider-Man,1820
tt0191754,28 Days,2000,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,4/14/2000,,9.078,6,"49,568",PG-13,Comedy,"Comedy, Drama",103,,English,United States,43000000,Not Available,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.","Sandra Bullock, Viggo Mortensen and Dominic West","Sandra Bullock, Viggo Mortensen, Dominic West",Sandra Bullock,Viggo Mortensen,Dominic West,Gwen Cummings,Eddie Boone,Jasper, directed by Betty Thomas.,"28 Days was produced by Columbia Pictures, with a budget of [morph money=""43000000"" display=""usd abbr""] and was initially released on [datecalc date=""4/14/2000"" display=""mmmm d, yyyy""].",Betty Thomas,,Columbia Pictures,#,10468,/8SOJsSg7cOLyqADsZxP3ZVKo03S.jpg,/7beW8ftY4yVBdCu7gWKXogm0q22.jpg,tt0191754-poster.jpg,tt0191754-fanart.jpg,https://www.netflix.com/search?q=28 Days,1794
tt0199725,Love & Basketball,2000,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,4/21/2000,,11.495,7.2,"21,341",PG-13,Drama,"Drama, Romance, Sport",124,,"English, Spanish",United States,20000000,Not Available,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,"Quincy McCall and Monica Wright grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion basketball. As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball.","Sanaa Lathan, Omar Epps and Glenndon Chatman","Sanaa Lathan, Omar Epps, Glenndon Chatman",Omar Epps,Sanaa Lathan,Chris Warren,Quincy McCall,Monica Wright,Kelvin, directed by Gina Prince-Bythewood.,"Love & Basketball was produced by 40 Acres and a Mule Filmworks, with a budget of [morph money=""20000000"" display=""usd abbr""] and was initially released on [datecalc date=""4/21/2000"" display=""mmmm d, yyyy""].",Gina Prince-Bythewood,,40 Acres and a Mule Filmworks,#,14736,/zNZWNX19FZ5QyedprVM0ldsXFiP.jpg,/cL0GxrBnjgWV381C1NLroeNUcTn.jpg,tt0199725-poster.jpg,tt0199725-fanart.jpg,https://www.netflix.com/search?q=Love & Basketball,1808
